"","j","error","rmse","cor","auc","gamma","cost"
"173",173,10.03418064581,10.8371077528551,0.881227153000835,0.694409415720891,0.00173,0.5
"174",174,10.0315138758626,10.8354810097825,0.881283623650952,0.693568726355612,0.00174,0.5
"175",175,10.0287062512601,10.8336650754105,0.881338841326407,0.692307692307692,0.00175,0.5
"176",176,10.0269249806483,10.8323034171298,0.881382508208055,0.689785624211854,0.00176,0.5
"177",177,10.0249432069331,10.8307388184942,0.881429075976436,0.688104245481295,0.00177,0.5
"178",178,10.0226585415665,10.8296707980098,0.881482551192139,0.687683900798655,0.00178,0.5
"179",179,10.0203852600698,10.8278621376553,0.881517181067749,0.687683900798655,0.00179,0.5
"180",180,10.0185581755204,10.8265140468524,0.88157643379536,0.687263556116015,0.0018,0.5
"181",181,10.0169743589036,10.8254305967578,0.881612368680453,0.687263556116015,0.00181,0.5
"182",182,10.015958447175,10.8245960339594,0.881636555836146,0.686843211433375,0.00182,0.5
"183",183,10.0141357633853,10.8239250114042,0.881680318515484,0.685582177385456,0.00183,0.5
"184",184,10.0121070897646,10.8224192376801,0.881737762676637,0.685161832702816,0.00184,0.5
"185",185,10.0111746633111,10.8223456923011,0.881754072571485,0.685582177385456,0.00185,0.5
"186",186,10.0094079888502,10.8214303446664,0.881787117251243,0.685161832702816,0.00186,0.5
"187",187,10.0090079370825,10.8213954711196,0.881800131123925,0.685161832702816,0.00187,0.5
"188",188,10.0073497540514,10.8204253385053,0.881851674739884,0.685161832702816,0.00188,0.5
"189",189,10.0066185603425,10.8205238685323,0.881854843651262,0.685161832702816,0.00189,0.5
"190",190,10.0062799794272,10.820459666479,0.881883892590986,0.684321143337537,0.0019,0.5
"191",191,10.0045627136744,10.819482938774,0.881917354919729,0.683900798654897,0.00191,0.5
"192",192,10.0043429439536,10.8193895475624,0.881932019127514,0.682639764606978,0.00192,0.5
"193",193,10.0040689894551,10.8195436325007,0.88195053509767,0.681378730559058,0.00193,0.5
"194",194,10.0040151306169,10.8198302405769,0.881962827671281,0.680958385876419,0.00194,0.5
"195",195,10.0036943422177,10.8200919617616,0.881961857728082,0.680538041193779,0.00195,0.5
"196",196,10.0043273283982,10.820692569405,0.881959896436498,0.680538041193779,0.00196,0.5
"197",197,10.0058583391617,10.8225692012106,0.881927589919798,0.679697351828499,0.00197,0.5
"198",198,10.0061141591338,10.823237066112,0.881923998136176,0.6775956284153,0.00198,0.5
"199",199,10.0064631127075,10.8245237269956,0.881910816260909,0.677175283732661,0.00199,0.5
"200",200,10.0079251447339,10.8260155567524,0.881886254883711,0.677175283732661,0.002,0.5
"201",201,20.4119532500184,20.2225595675598,0.571498025631602,0.846574190836486,1e-05,1
"202",202,19.2686490151545,19.1040829027723,0.593784180545696,0.846994535519126,2e-05,1
"203",203,18.4479616582387,18.36383558736,0.612918693765688,0.847414880201765,3e-05,1
"204",204,17.7596146782935,17.7947974444174,0.624576551141991,0.849096258932325,4e-05,1
"205",205,17.25589077116,17.3516140313749,0.641377649662569,0.849096258932324,5e-05,1
"206",206,16.793550967772,16.9448137387708,0.66110939385889,0.853299705758722,6e-05,1
"207",207,16.3631382881512,16.5562403060057,0.67815561918166,0.854981084489281,7e-05,1
"208",208,15.979637490276,16.2186882212978,0.693993617095018,0.858764186633039,8e-05,1
"209",209,15.6192779473423,15.926803738103,0.706150481567011,0.858764186633039,9e-05,1
"210",210,15.2994806887387,15.6334474126506,0.719322001525998,0.85708280790248,1e-04,1
"211",211,14.9925270375047,15.3240795000632,0.733128520153717,0.849936948297604,0.00011,1
"212",212,14.6584643702023,15.0094247222628,0.745093336462602,0.844892812105927,0.00012,1
"213",213,14.3786976028509,14.7566303695624,0.754998572080513,0.844052122740648,0.00013,1
"214",214,14.1319546136613,14.5514987978541,0.762692321166068,0.844892812105927,0.00014,1
"215",215,13.8811298200187,14.3084422296417,0.772269919504639,0.838167297183691,0.00015,1
"216",216,13.6189913356491,14.0608389815587,0.781815174053946,0.834804539722573,0.00016,1
"217",217,13.3850864492679,13.8345479956074,0.790048155743057,0.828919714165616,0.00017,1
"218",218,13.1596852178864,13.612269219768,0.798039161423981,0.825136612021858,0.00018,1
"219",219,12.9374949339135,13.3918017406161,0.805840515794386,0.822194199243379,0.00019,1
"220",220,12.733439434798,13.1917464399085,0.812755552000947,0.817990752416982,2e-04,1
"221",221,12.5586792462181,13.0247465640543,0.818397943079196,0.813366960907944,0.00021,1
"222",222,12.4000224517074,12.8621271415002,0.823645022262719,0.809163514081547,0.00022,1
"223",223,12.2474497972155,12.7053524379454,0.828677414931297,0.806641445985708,0.00023,1
"224",224,12.1049909614915,12.5639104821045,0.833257069614359,0.802017654476671,0.00024,1
"225",225,11.9667211646877,12.435512481577,0.837358321204477,0.797814207650273,0.00025,1
"226",226,11.8377841936317,12.3156629866908,0.841108936325756,0.796553173602354,0.00026,1
"227",227,11.7113149833051,12.2020901270807,0.84450010416571,0.794031105506515,0.00027,1
"228",228,11.5925897189392,12.0979467515709,0.847593230614822,0.793190416141236,0.00028,1
"229",229,11.4846690259685,12.004518298481,0.850327154326477,0.789407313997478,0.00029,1
"230",230,11.3707254650549,11.9110579428126,0.853041604259835,0.787305590584279,3e-04,1
"231",231,11.2608015227139,11.822284350979,0.855505158082784,0.784783522488441,0.00031,1
"232",232,11.1525923552041,11.7379384860887,0.857801588210281,0.781420765027322,0.00032,1
"233",233,11.0416681641838,11.6477826197035,0.860245740624445,0.776796973518285,0.00033,1
"234",234,10.9420276637768,11.5734027628082,0.862131637253138,0.770491803278688,0.00034,1
"235",235,10.8535492564358,11.5133053307525,0.863530979002229,0.769230769230769,0.00035,1
"236",236,10.7725263516837,11.4529141509587,0.864886181987548,0.765447667087011,0.00036,1
"237",237,10.6894602413389,11.3915656569726,0.866252591110034,0.763345943673812,0.00037,1
"238",238,10.6073140251093,11.3302315731437,0.867647652743728,0.758722152164775,0.00038,1
"239",239,10.5293762644846,11.2707011972626,0.86900046224124,0.756200084068937,0.00039,1
"240",240,10.4539436303611,11.2166951443535,0.870201173229678,0.754098360655738,4e-04,1
"241",241,10.3872924636736,11.16789578384,0.871303066657046,0.75031525851198,0.00041,1
"242",242,10.3220651601711,11.1209954569424,0.872354409533866,0.7494745691467,0.00042,1
"243",243,10.2623858109297,11.0785912246235,0.873341835257446,0.744850777637663,0.00043,1
"244",244,10.2077872762522,11.0422132684798,0.874192691288538,0.742328709541824,0.00044,1
"245",245,10.1556279077531,11.0086496454985,0.874988079668156,0.738965952080706,0.00045,1
"246",246,10.1077459012526,10.9771471952214,0.875732003125998,0.736443883984867,0.00046,1
"247",247,10.0653228608604,10.9501164840805,0.876369627708634,0.73224043715847,0.00047,1
"248",248,10.0251646767598,10.9255716294157,0.876930956547664,0.727196300966792,0.00048,1
"249",249,9.98550234307745,10.8992607543284,0.877570081665518,0.725094577553594,0.00049,1
"250",250,9.9463398038466,10.8720496684016,0.878228877550142,0.723413198823035,5e-04,1
"251",251,9.90810371606973,10.8461099748613,0.878858437326414,0.721731820092476,0.00051,1
"252",252,9.868883158098,10.8176956655921,0.879541123123966,0.720050441361917,0.00052,1
"253",253,9.83201333825802,10.7904134057565,0.88020831375607,0.717108028583438,0.00053,1
"254",254,9.7930961368649,10.7624389343789,0.880876321425773,0.71500630517024,0.00054,1
"255",255,9.75319221987377,10.735202969081,0.881505769796081,0.712484237074401,0.00055,1
"256",256,9.71227086750663,10.7052937437433,0.882192024151675,0.709541824295923,0.00056,1
"257",257,9.66560290283283,10.6702691905259,0.882975045320562,0.705758722152164,0.00057,1
"258",258,9.61881020303895,10.6356231227294,0.883753692240592,0.702816309373686,0.00058,1
"259",259,9.57317810205305,10.602663293112,0.884477652375076,0.699453551912568,0.00059,1
"260",260,9.52342086484689,10.5690092582801,0.885224849312503,0.694829760403531,6e-04,1
"261",261,9.47669890360656,10.5375578257089,0.885900879709543,0.691046658259773,0.00061,1
"262",262,9.43167118706997,10.5077846544205,0.886546878925397,0.688104245481295,0.00062,1
"263",263,9.38935117508923,10.4791902125859,0.887169830096908,0.685161832702816,0.00063,1
"264",264,9.34786537607349,10.4525297094727,0.887732267385675,0.683900798654897,0.00064,1
"265",265,9.30673140409628,10.4262884539442,0.888286825127272,0.680538041193779,0.00065,1
"266",266,9.26710708526066,10.4011706950077,0.888829013675998,0.677595628415301,0.00066,1
"267",267,9.23196984500506,10.3799529718268,0.889277522941146,0.675914249684742,0.00067,1
"268",268,9.19883257632216,10.3593241366498,0.889704215263249,0.673812526271543,0.00068,1
"269",269,9.16990355365016,10.3427527152326,0.89001996963079,0.672131147540984,0.00069,1
"270",270,9.1412056584213,10.3260603182436,0.890337235088668,0.670029424127785,7e-04,1
"271",271,9.11205137325878,10.3091594326629,0.890655543340152,0.668768390079866,0.00071,1
"272",272,9.08557565276773,10.2935527213119,0.890933871474879,0.667507356031946,0.00072,1
"273",273,9.05937063117017,10.2779327149174,0.891223332544292,0.665825977301387,0.00073,1
"274",274,9.0350999990554,10.2647591331485,0.891442222881834,0.664144598570828,0.00074,1
"275",275,9.01302764915562,10.2519776971094,0.891644817935862,0.663303909205549,0.00075,1
"276",276,8.99341345551516,10.2418067447888,0.891798761422583,0.66162253047499,0.00076,1
"277",277,8.97343574292275,10.2299739164174,0.892000857763,0.659941151744431,0.00077,1
"278",278,8.95663144621653,10.2192381599073,0.892189770208731,0.658259773013872,0.00078,1
"279",279,8.93974037456315,10.207927940951,0.892384614827278,0.657419083648592,0.00079,1
"280",280,8.92340717831827,10.1990430044417,0.892527864611636,0.655317360235393,8e-04,1
"281",281,8.90720462093581,10.1901182970108,0.892684141901074,0.654476670870113,0.00081,1
"282",282,8.89189818817725,10.1818443699539,0.892816630468778,0.652795292139554,0.00082,1
"283",283,8.87795991779686,10.1749886924531,0.892918523196856,0.652374947456914,0.00083,1
"284",284,8.86430146918511,10.1678986007007,0.893025929128149,0.652374947456914,0.00084,1
"285",285,8.85072898888011,10.160801685905,0.89313463116059,0.650693568726355,0.00085,1
"286",286,8.83818493007209,10.1541217162444,0.893244819250536,0.648591845313157,0.00086,1
"287",287,8.82485284984208,10.1471069065432,0.893349726574447,0.647751155947877,0.00087,1
"288",288,8.8124006305544,10.1396238855098,0.893466381521206,0.647330811265238,0.00088,1
"289",289,8.80005913787515,10.1329426464118,0.893554573504602,0.644808743169399,0.00089,1
"290",290,8.7882996836696,10.1267315399424,0.89365128645243,0.644808743169399,9e-04,1
"291",291,8.77865641031567,10.1204926568957,0.893751796708806,0.644808743169399,0.00091,1
"292",292,8.7696224131272,10.1153809069285,0.893816352025958,0.64396805380412,0.00092,1
"293",293,8.75950370742394,10.1086283824381,0.893932696521882,0.64396805380412,0.00093,1
"294",294,8.75180838155945,10.1022241469953,0.894051719172198,0.64396805380412,0.00094,1
"295",295,8.742903166095,10.0966151805733,0.894144809367175,0.64396805380412,0.00095,1
"296",296,8.73514641638562,10.090674449319,0.894257778845643,0.64354770912148,0.00096,1
"297",297,8.72685215396259,10.0851458561285,0.89435243774606,0.643968053804119,0.00097,1
"298",298,8.71907903380848,10.0803023779274,0.894439381951386,0.64354770912148,0.00098,1
"299",299,8.71087353441211,10.074534852748,0.894542461792005,0.64312736443884,0.00099,1
"300",300,8.70357123680137,10.0693933551741,0.894634117518041,0.64228667507356,0.001,1
"301",301,8.69547771032766,10.0642083278329,0.894730020060455,0.64354770912148,0.00101,1
"302",302,8.68841481130709,10.0591574469537,0.894824517075857,0.64354770912148,0.00102,1
"303",303,8.68154242099531,10.0550516120926,0.894892196539663,0.64312736443884,0.00103,1
"304",304,8.67556967634391,10.0497746062384,0.894996958274249,0.64312736443884,0.00104,1
"305",305,8.66879596613423,10.0455360372524,0.89507656520397,0.64228667507356,0.00105,1
"306",306,8.66407275194893,10.0418552947976,0.895136577028582,0.641025641025641,0.00106,1
