"","max_depth","num_leaves","num_iterations","early_stopping_rounds","learning_rate","mean.rmse","mean.rank","list.rank","rmse.rank","ranks.rank","mean.final.rank"
"2090",5,22,300,40,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2091",5,22,350,20,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2092",5,22,350,25,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2093",5,22,350,30,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2094",5,22,350,35,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2095",5,22,350,40,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2096",5,22,400,20,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2097",5,22,400,25,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2098",5,22,400,30,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
"2099",5,22,400,35,0.45,11.6579659170908,10395.5,"4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 4050.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 7425.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 2025.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 19575.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5, 18900.5",2363,1913,2138
