"","Feature","Gain","Cover","Frequency"
"162","CCL2",0.000112087315095424,0.0024069261995713,0.00184672206832872
"163","CXCL16",0.00010958768827345,0.00118550096396796,0.000923361034164358
"164","KNG1",0.000108937364968942,0.0180938581470261,0.0120036934441367
"165","KDR",0.000108091920775039,0.0176807290232191,0.0110803324099723
"166","TNFSF12",0.000105145725662933,0.00270629512986624,0.00369344413665743
"167","IFNL1",0.000104029555511572,0.00210755726927637,0.00277008310249307
"168","TAFA5",0.000102919041396413,0.00446059706139458,0.00461680517082179
"169","IL15",0.000101530877656844,0.0038917960938342,0.00369344413665743
"170","CCL24",9.81141252205789e-05,0.00738243782107318,0.00554016620498615
"171","MPO",9.499284029815e-05,0.000592750481983978,0.000923361034164358
"172","CSF3R",9.22617117391943e-05,0.00087415727646122,0.00184672206832872
"173","IL2RA",8.66397240579041e-05,0.00662204073812403,0.00369344413665743
"174","IL1R1",8.0084852583513e-05,0.00267037085823085,0.00461680517082179
"175","CD80",7.61566558614797e-05,0.00276616891592523,0.00277008310249307
"176","CD93",7.54505544112597e-05,0.000353255337748027,0.000923361034164358
"177","IFNL2;_IFNL3",7.45978497090355e-05,0.00928043683914309,0.00646352723915051
"178","CCL4",7.37027677700183e-05,0.00141900872959801,0.00277008310249307
"179","HLA-DRA",7.36708696427781e-05,0.00596941647008107,0.00554016620498615
"180","TARDBP",7.12650180777366e-05,0.000335293201930331,0.000923361034164358
"181","MMP1",6.43536864610502e-05,0.00273623202289574,0.00369344413665743
"182","SNAP25",6.35354984972134e-05,0.000473002909866002,0.000923361034164358
"183","ICAM1",6.19043478798236e-05,0.000946005819732005,0.00184672206832872
"184","OSMR",6.15730737565068e-05,0.00464021841957154,0.00277008310249307
"185","SAA1",5.73360214188523e-05,0.00687949801817768,0.00554016620498615
"186","TREM1",5.72984321390777e-05,0.00349662910584488,0.00277008310249307
"187","TLR3",5.23167771828988e-05,0.00618496209989342,0.00461680517082179
"188","IL17A",5.07227595395271e-05,0.00102384174160869,0.00184672206832872
"189","TNFRSF13C",5.02491123309884e-05,0.00517309511549653,0.00461680517082179
